,All manual employee grades,Skilled operatives,Apprentices,Unskilled and semi-skilled - adults,Unskilled and semi-skilled - juveniles,Clerical employees - female,Clerical employees - male,Foremen and supervisors,All employees (clerical and operatives)
"Source: Central Statistics Office, Ireland.",,,,,,,,,
1969Q1,n/a,25.24,n/a,21.34,n/a,n/a,n/a,n/a,n/a
1969Q2,n/a,27.59,n/a,23.41,n/a,n/a,n/a,n/a,n/a
1969Q3,26,30.77,12.63,24.71,11.44,14.01,22.33,35.4,25.56
1969Q4,n/a,29.48,n/a,23.2,n/a,n/a,n/a,n/a,n/a
1970Q1,n/a,29.97,n/a,24.19,n/a,n/a,n/a,n/a,n/a
1970Q2,n/a,30.74,n/a,25.39,n/a,n/a,n/a,n/a,n/a
1970Q3,27.5,31.9,12.6,26.55,12.05,15.3,25.32,36.39,27.05
1970Q4,n/a,32.42,n/a,26.13,n/a,n/a,n/a,n/a,n/a
1971Q1,n/a,36.45,n/a,30.47,n/a,n/a,n/a,n/a,n/a
1971Q2,n/a,36.28,n/a,30.3,n/a,n/a,n/a,n/a,n/a
1971Q3,32.76,37.51,15.92,31.97,14.67,19.48,29.84,42.82,32.2
1971Q4,n/a,38.74,n/a,31.74,n/a,n/a,n/a,n/a,n/a
1972Q1,n/a,41.29,n/a,33.85,n/a,n/a,n/a,n/a,n/a
1972Q2,n/a,41.81,n/a,34.69,n/a,n/a,n/a,n/a,n/a
1972Q3,38.46,44.17,18.21,37.77,18.7,21.13,32.28,48.49,37.61
1972Q4,n/a,44.07,n/a,36.04,n/a,n/a,n/a,n/a,n/a
1973Q1,n/a,46.37,n/a,38.84,n/a,n/a,n/a,n/a,n/a
1973Q2,n/a,46.97,n/a,39.48,n/a,n/a,n/a,n/a,n/a
1973Q3,42.52,48.55,20.48,41.71,18.39,24.65,40.53,55.35,41.8
1973Q4,n/a,50.68,n/a,42.27,n/a,n/a,n/a,n/a,n/a
1974Q1,46.66,53.43,21.65,45.91,19.41,27.02,42.16,61.52,45.71
1974Q2,n/a,55.6,n/a,46.93,n/a,n/a,n/a,n/a,n/a
1974Q3,50.43,56.58,26.11,49.99,27.44,32.02,41.86,64.53,49.34
1974Q4,n/a,57.89,n/a,49.84,n/a,n/a,n/a,n/a,n/a
1975Q1,55.2,62.15,31.21,54.51,28.76,32.34,50.33,68.26,54.19
1975Q2,n/a,66.19,n/a,58.08,n/a,n/a,n/a,n/a,n/a
1975Q3,60.82,68.6,34.89,60.48,41.19,37.04,57.29,77.66,59.77
1975Q4,n/a,71.36,n/a,61.23,n/a,n/a,n/a,n/a,n/a
1976Q1,61.4,68.86,36.75,59.97,36.34,40.34,62.29,82.05,60.58
1976Q2,n/a,70.15,n/a,60.76,n/a,n/a,n/a,n/a,n/a
1976Q3,71.64,79.92,43.98,70.32,36.99,42.47,65.19,92.81,70.25
1976Q4,n/a,81.01,n/a,70.97,n/a,n/a,n/a,n/a,n/a
1977Q1,77.14,87.5,47.89,74.51,39.82,47.88,71.59,94.63,75.73
1977Q2,n/a,90.28,n/a,78.1,n/a,n/a,n/a,n/a,n/a
1977Q3,85.64,96.25,52.45,84.3,46.07,51.15,76.12,103.28,83.88
1977Q4,n/a,92.78,n/a,79.16,n/a,n/a,n/a,n/a,n/a
1978Q1,87.47,100.93,54.22,83.54,43.21,53,79.68,110.29,85.82
1978Q2,n/a,105.54,n/a,89.71,n/a,n/a,n/a,n/a,n/a
1978Q3,96.13,109.86,57.65,94.05,48.87,56.22,81.14,119.89,94.09
1978Q4,n/a,112.32,n/a,91.61,n/a,n/a,n/a,n/a,n/a
1979Q1,103.08,117.35,58.83,100,54.99,64.55,89.55,132.59,101.49
1979Q2,n/a,124.57,n/a,108.77,n/a,n/a,n/a,n/a,n/a
1979Q3,118.54,136,67.22,115.91,61.93,69.05,94.32,145.89,116.37
1979Q4,n/a,136,n/a,114.11,n/a,n/a,n/a,n/a,n/a
1980Q1,129.83,145.37,71.73,127.89,64.78,77.95,106.78,167.15,127.55
1980Q2,n/a,155.72,n/a,133.17,n/a,n/a,n/a,n/a,n/a
1980Q3,136.22,150.46,79.88,136.36,73.68,85.97,121.17,175.33,134.07
1980Q4,n/a,166.6,n/a,148.61,n/a,n/a,n/a,n/a,n/a
1981Q1,147.72,162.58,84.11,148.31,76.1,96.13,135.02,187.77,145.55
1981Q2,n/a,187.92,n/a,161.17,n/a,n/a,n/a,n/a,n/a
