,All manual employee grades,Skilled operatives,Apprentices,Unskilled and semi-skilled - adults,Unskilled and semi-skilled - juveniles,Clerical employees - female,Clerical employees - male,Foremen and supervisors,All employees (clerical and operatives)
"Source: Central Statistics Office, Ireland.",,,,,,,,,
1969Q1,n/a,"5,024",n/a,"7,009",n/a,n/a,n/a,n/a,n/a
1969Q2,n/a,"5,338",n/a,"7,659",n/a,n/a,n/a,n/a,n/a
1969Q3,"14,893","4,753","1,279","7,545",326,443,564,990,"15,900"
1969Q4,n/a,"3,964",n/a,"5,906",n/a,n/a,n/a,n/a,n/a
1970Q1,n/a,"6,029",n/a,"8,371",n/a,n/a,n/a,n/a,n/a
1970Q2,n/a,"4,998",n/a,"6,290",n/a,n/a,n/a,n/a,n/a
1970Q3,"14,107","4,463","1,202","7,343",180,478,543,919,"15,128"
1970Q4,n/a,"5,736",n/a,"8,404",n/a,n/a,n/a,n/a,n/a
1971Q1,n/a,"6,784",n/a,"10,442",n/a,n/a,n/a,n/a,n/a
1971Q2,n/a,"6,028",n/a,"9,196",n/a,n/a,n/a,n/a,n/a
1971Q3,"16,589","5,241","1,374","8,647",294,574,824,"1,033","17,987"
1971Q4,n/a,"5,712",n/a,"9,173",n/a,n/a,n/a,n/a,n/a
1972Q1,n/a,"6,183",n/a,"8,872",n/a,n/a,n/a,n/a,n/a
1972Q2,n/a,"6,138",n/a,"9,018",n/a,n/a,n/a,n/a,n/a
1972Q3,"15,298","4,712","1,399","8,023",190,559,744,974,"16,601"
1972Q4,n/a,"4,850",n/a,"7,334",n/a,n/a,n/a,n/a,n/a
1973Q1,n/a,"5,967",n/a,"8,352",n/a,n/a,n/a,n/a,n/a
1973Q2,n/a,"5,854",n/a,"8,799",n/a,n/a,n/a,n/a,n/a
1973Q3,"15,126","4,696","1,347","7,878",208,589,741,997,"16,456"
1973Q4,n/a,"5,354",n/a,"7,625",n/a,n/a,n/a,n/a,n/a
1974Q1,"14,802","5,026","1,578","7,009",168,589,835,"1,021","16,226"
1974Q2,n/a,"5,999",n/a,"8,270",n/a,n/a,n/a,n/a,n/a
1974Q3,"14,463","4,718","1,417","7,088",238,583,754,"1,002","15,800"
1974Q4,n/a,"4,864",n/a,"6,455",n/a,n/a,n/a,n/a,n/a
1975Q1,"14,969","5,178","1,665","6,986",156,545,799,984,"16,313"
1975Q2,n/a,"5,206",n/a,"6,908",n/a,n/a,n/a,n/a,n/a
1975Q3,"13,260","4,381","1,606","6,019",317,523,799,937,"14,582"
1975Q4,n/a,"4,365",n/a,"6,216",n/a,n/a,n/a,n/a,n/a
1976Q1,"13,785","4,703","1,719","6,155",193,625,764,"1,015","15,174"
1976Q2,n/a,"4,770",n/a,"6,074",n/a,n/a,n/a,n/a,n/a
1976Q3,"13,431","4,591","1,548","6,197",183,557,620,912,"14,608"
1976Q4,n/a,"4,753",n/a,"6,199",n/a,n/a,n/a,n/a,n/a
1977Q1,"13,152","4,388","1,320","6,408",147,566,668,889,"14,386"
1977Q2,n/a,"4,452",n/a,"6,188",n/a,n/a,n/a,n/a,n/a
1977Q3,"11,309","3,769","1,226","5,393",144,475,570,777,"12,354"
1977Q4,n/a,"3,817",n/a,"5,241",n/a,n/a,n/a,n/a,n/a
1978Q1,"13,669","4,735","1,661","6,075",177,549,754,"1,021","14,972"
1978Q2,n/a,"4,830",n/a,"6,139",n/a,n/a,n/a,n/a,n/a
1978Q3,"12,884","4,492","1,566","5,699",230,477,644,897,"14,005"
1978Q4,n/a,"4,741",n/a,"5,401",n/a,n/a,n/a,n/a,n/a
1979Q1,"13,140","4,471","1,351","6,242",214,413,483,852,"14,036"
1979Q2,n/a,"5,122",n/a,"7,736",n/a,n/a,n/a,n/a,n/a
1979Q3,"13,217","4,322","1,353","6,498",208,391,459,836,"14,067"
1979Q4,n/a,"4,264",n/a,"6,415",n/a,n/a,n/a,n/a,n/a
1980Q1,"26,349","9,208","2,859","12,253",283,876,811,"1,746","28,036"
1980Q2,n/a,"9,282",n/a,"11,610",n/a,n/a,n/a,n/a,n/a
1980Q3,"24,551","8,416","2,962","11,172",324,862,871,"1,677","26,284"
1980Q4,n/a,"8,887",n/a,"11,439",n/a,n/a,n/a,n/a,n/a
1981Q1,"29,201","10,235","3,444","12,951",391,"1,069",970,"2,180","31,240"
