Enforcing authority,"Year
[Note 1]","Employment Status - overview 
[Note 2]",Employment Status - detail,Age band,Gender of deceased person,Incident Type,Kind of accident,"Top-level Industry (SIC section)
[Note 3]","Detailed industry (2-Digit SIC)
[Note 3] [Note 4]",Country,Region,LA Name (of incident location)
HSE,2017/18,Workers,Self Employed,35 - 44,Male,Non-fatal injury,Struck by object,Construction (F),41 Construction of buildings,England,North West,Trafford
HSE,2017/18,Workers,Employee,65 and over,Male,Fatality,Fall from height,Construction (F),41 Construction of buildings,England,East Midlands,West Northamptonshire
HSE,2017/18,Members of the public,MoP,55 - 59,Male,Non-fatal injury,Drowned or asphyxiated,Construction (F),41 Construction of buildings,England,West Midlands,Birmingham
HSE,2017/18,Workers,Employee,60 - 64,Male,Fatality,Fall from height,Construction (F),41 Construction of buildings,England,East of England,East Suffolk
HSE,2017/18,Workers,Employee,25 - 34,Male,Fatality,Fall from height,Construction (F),41 Construction of buildings,England,London,Greenwich
HSE,2017/18,Workers,Self Employed,45 - 54,Male,Non-fatal injury,Struck by object,Construction (F),41 Construction of buildings,England,East Midlands,Derbyshire Dales
HSE,2017/18,Members of the public,MoP,Under 16,Male,Non-fatal injury,Struck by object,Construction (F),41 Construction of buildings,Scotland,Scotland,Dumfries and Galloway
HSE,2017/18,Workers,Employee,60 - 64,Male,Non-fatal injury,Drowned or asphyxiated,Construction (F),41 Construction of buildings,England,Yorkshire and The Humber,Leeds
HSE,2017/18,Workers,Employee,25 - 34,Male,Non-fatal injury,Struck by object,Construction (F),41 Construction of buildings,England,East Midlands,North Northamptonshire
HSE,2017/18,Workers,Employee,45 - 54,Male,Non-fatal injury,Trapped by something collapsing,Construction (F),41 Construction of buildings,Scotland,Scotland,South Lanarkshire
HSE,2017/18,Workers,Self Employed,65 and over,Male,Fatality,Fall from height,Construction (F),41 Construction of buildings,England,North West,Stockport
HSE,2017/18,Workers,Self Employed,60 - 64,Male,Fatality,Fall from height,Construction (F),41 Construction of buildings,England,North West,Trafford
