Year,Quarter,Manual_employee_grades,Skilled_operatives,Apprentices,Semi_skilled_adults,Clerical_employees_female,Clerical_employees_male,Foremen_and_supervisors,Clerical_and_Operatives,Number_of_employees,gender,male,female,Construction,Clerical_support_workers,Skill_levels_high,Skill_level_medium,Skill_level_low
2000,Q1,520,624,300,468,323,469,694,508,417.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,Q1,520,624,300,468,323,469,694,508,18.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2000,Q2,533,619,306,504,344,478,696,521,422.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,Q2,533,619,306,504,344,478,696,521,21.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2000,Q3,554,642,318,534,338,494,718,540,434.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,Q3,554,642,318,534,338,494,718,540,20.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2000,Q4,607,704,328,578,353,476,772,588,430.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2000,Q4,607,704,328,578,353,476,772,588,20.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2001,Q1,579,664,327,556,352,476,721,562,417.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2001,Q1,579,664,327,556,352,476,721,562,21.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2001,Q2,587,670,358,555,355,495,753,570,403.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2001,Q2,587,670,358,555,355,495,753,570,16.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2001,Q3,612,684,386,592,371,495,767,595,406.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2001,Q3,612,684,386,592,371,495,767,595,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2001,Q4,638,705,392,618,393,519,780,618,416.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2001,Q4,638,705,392,618,393,519,780,618,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2002,Q1,644,725,374,624,388,523,788,624,432.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2002,Q1,644,725,374,624,388,523,788,624,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2002,Q2,657,749,372,629,400,528,828,637,431.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2002,Q2,657,749,372,629,400,528,828,637,20.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2002,Q3,685,794,422,643,405,547,861,664,455.0,Male,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2002,Q3,685,794,422,643,405,547,861,664,19.0,Female,0.0,1.0,1.0,0.0,0.0,0.0,0.0
