Manual_employee_grades,Skilled_operatives,Apprentices,Semi_skilled_adults,Semi_skilled_juveniles,Clerical_employees_female,Clerical_employees_male,Foremen_and_supervisors,Clerical_and_Operatives,date
14893,5024,1279,7009,326,443,564,990,15900,1969-01-01
14893,5338,1279,7659,326,443,564,990,15900,1969-04-01
14893,4753,1279,7545,326,443,564,990,15900,1969-07-01
14893,3964,1279,5906,326,443,564,990,15900,1969-10-01
14893,6029,1279,8371,326,443,564,990,15900,1970-01-01
14893,4998,1279,6290,326,443,564,990,15900,1970-04-01
14107,4463,1202,7343,180,478,543,919,15128,1970-07-01
14107,5736,1202,8404,180,478,543,919,15128,1970-10-01
14107,6784,1202,10442,180,478,543,919,15128,1971-01-01
14107,6028,1202,9196,180,478,543,919,15128,1971-04-01
16589,5241,1374,8647,294,574,824,1033,17987,1971-07-01
16589,5712,1374,9173,294,574,824,1033,17987,1971-10-01
16589,6183,1374,8872,294,574,824,1033,17987,1972-01-01
16589,6138,1374,9018,294,574,824,1033,17987,1972-04-01
15298,4712,1399,8023,190,559,744,974,16601,1972-07-01
15298,4850,1399,7334,190,559,744,974,16601,1972-10-01
15298,5967,1399,8352,190,559,744,974,16601,1973-01-01
15298,5854,1399,8799,190,559,744,974,16601,1973-04-01
15126,4696,1347,7878,208,589,741,997,16456,1973-07-01
15126,5354,1347,7625,208,589,741,997,16456,1973-10-01
14802,5026,1578,7009,168,589,835,1021,16226,1974-01-01
14802,5999,1578,8270,168,589,835,1021,16226,1974-04-01
14463,4718,1417,7088,238,583,754,1002,15800,1974-07-01
14463,4864,1417,6455,238,583,754,1002,15800,1974-10-01
14969,5178,1665,6986,156,545,799,984,16313,1975-01-01
14969,5206,1665,6908,156,545,799,984,16313,1975-04-01
13260,4381,1606,6019,317,523,799,937,14582,1975-07-01
13260,4365,1606,6216,317,523,799,937,14582,1975-10-01
13785,4703,1719,6155,193,625,764,1015,15174,1976-01-01
13785,4770,1719,6074,193,625,764,1015,15174,1976-04-01
13431,4591,1548,6197,183,557,620,912,14608,1976-07-01
13431,4753,1548,6199,183,557,620,912,14608,1976-10-01
13152,4388,1320,6408,147,566,668,889,14386,1977-01-01
13152,4452,1320,6188,147,566,668,889,14386,1977-04-01
11309,3769,1226,5393,144,475,570,777,12354,1977-07-01
11309,3817,1226,5241,144,475,570,777,12354,1977-10-01
13669,4735,1661,6075,177,549,754,1021,14972,1978-01-01
13669,4830,1661,6139,177,549,754,1021,14972,1978-04-01
12884,4492,1566,5699,230,477,644,897,14005,1978-07-01
12884,4741,1566,5401,230,477,644,897,14005,1978-10-01
13140,4471,1351,6242,214,413,483,852,14036,1979-01-01
13140,5122,1351,7736,214,413,483,852,14036,1979-04-01
13217,4322,1353,6498,208,391,459,836,14067,1979-07-01
13217,4264,1353,6415,208,391,459,836,14067,1979-10-01
