Year,Quarter,Manual_employee_grades,Skilled_operatives,Apprentices,Semi_skilled_adults,Clerical_employees_female,Clerical_employees_male,Foremen_and_supervisors,Clerical_and_Operatives
1969,Q1,26,25,12,21,14,22,35,25
1969,Q2,26,27,12,23,14,22,35,25
1969,Q3,26,30,12,24,14,22,35,25
1969,Q4,26,29,12,23,14,22,35,25
1970,Q1,26,29,12,24,14,22,35,25
1970,Q2,26,30,12,25,14,22,35,25
1970,Q3,27,31,12,26,15,25,36,27
1970,Q4,27,32,12,26,15,25,36,27
1971,Q1,27,36,12,30,15,25,36,27
1971,Q2,27,36,12,30,15,25,36,27
1971,Q3,32,37,15,31,19,29,42,32
1971,Q4,32,38,15,31,19,29,42,32
1972,Q1,32,41,15,33,19,29,42,32
1972,Q2,32,41,15,34,19,29,42,32
1972,Q3,38,44,18,37,21,32,48,37
1972,Q4,38,44,18,36,21,32,48,37
1973,Q1,38,46,18,38,21,32,48,37
1973,Q2,38,46,18,39,21,32,48,37
1973,Q3,42,48,20,41,24,40,55,41
1973,Q4,42,50,20,42,24,40,55,41
1974,Q1,46,53,21,45,27,42,61,45
1974,Q2,46,55,21,46,27,42,61,45
1974,Q3,50,56,26,49,32,41,64,49
1974,Q4,50,57,26,49,32,41,64,49
1975,Q1,55,62,31,54,32,50,68,54
1975,Q2,55,66,31,58,32,50,68,54
1975,Q3,60,68,34,60,37,57,77,59
1975,Q4,60,71,34,61,37,57,77,59
1976,Q1,61,68,36,59,40,62,82,60
1976,Q2,61,70,36,60,40,62,82,60
1976,Q3,71,79,43,70,42,65,92,70
1976,Q4,71,81,43,70,42,65,92,70
1977,Q1,77,87,47,74,47,71,94,75
1977,Q2,77,90,47,78,47,71,94,75
1977,Q3,85,96,52,84,51,76,103,83
1977,Q4,85,92,52,79,51,76,103,83
1978,Q1,87,100,54,83,53,79,110,85
1978,Q2,87,105,54,89,53,79,110,85
1978,Q3,96,109,57,94,56,81,119,94
1978,Q4,96,112,57,91,56,81,119,94
1979,Q1,103,117,58,100,64,89,132,101
1979,Q2,103,124,58,108,64,89,132,101
1979,Q3,118,136,67,115,69,94,145,116
1979,Q4,118,136,67,114,69,94,145,116
1980,Q1,129,145,71,127,77,106,167,127
1980,Q2,129,155,71,133,77,106,167,127
1980,Q3,136,150,79,136,85,121,175,134
1980,Q4,136,166,79,148,85,121,175,134
1981,Q1,147,162,84,148,96,135,187,145
1981,Q2,147,187,84,161,96,135,187,145
1981,Q3,165,188,92,159,103,145,208,162
1981,Q4,165,182,92,160,103,145,208,162
1982,Q1,180,206,101,171,109,159,235,177
1982,Q2,180,206,101,184,109,159,235,177
1982,Q3,194,217,112,191,112,161,242,190
1982,Q4,194,219,112,186,112,161,242,190
1983,Q1,189,213,112,184,118,171,233,185
1983,Q2,189,217,112,182,118,171,233,185
1983,Q3,202,229,120,194,122,182,253,198
1983,Q4,202,230,120,196,122,182,253,198
1984,Q1,212,241,126,203,128,188,254,208
1984,Q2,212,241,126,203,128,188,254,208
1984,Q3,215,239,129,210,129,185,265,211
